symbol,name,reason
زعف0510پ11,زعفران0510نگين سحرخيز(پ),no_signals_or_low_gain
بركت,گروه دارويي بركت,no_signals_or_low_gain
خفولا,خدمات فني فولاد يزد,no_signals_or_low_gain
دامين,داروسازي‌ امين‌,no_signals_or_low_gain
پارس,پتروشيمي پارس,no_signals_or_low_gain
اكتان,صندوق س صنايع مفيد4-بخشي,blacklist_name
خكاوه,سايپا ديزل,no_signals_or_low_gain
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,no_signals_or_low_gain
سرو,صندوق س سروسودمند مدبران-سهام,blacklist_name
صبا,گروه مالي صبا تامين,no_signals_or_low_gain
انار,صندوق س.انارنماد ارزش-درسهام,blacklist_name
شبندر4,پالايش نفت بندرعباس,no_signals_or_low_gain
گلديس,صندوق س.پشتوانه طلا گلديس نوين,blacklist_name
ضملت9032,اختيارخ وبملت-1300-1404/09/19,no_signals_or_low_gain
زفكا,كشت و دامداري فكا,no_signals_or_low_gain
ضهرم1026,اختيارخ اهرم-28000-1404/10/24,no_signals_or_low_gain
هدف,ص.س.دثابت مشترك صباي هدف-د,blacklist_name
خموتور,موتورسازان‌تراكتورسازي‌ايران‌,no_signals_or_low_gain
رزگلد,صندوق س.پشتوانه طلا آرمان آتي,blacklist_name
فاراك,ماشين‌ سازي‌ اراك‌,no_signals_or_low_gain
فماك2,ماداكتو استيل كرد,no_signals_or_low_gain
حتايد,تايدواترخاورميانه,no_signals_or_low_gain
شيران,س. صنايع‌شيميايي‌ايران,no_signals_or_low_gain
رمپنا2,گروه مپنا (سهامي عام),no_signals_or_low_gain
شبهرن,نفت‌ بهران‌,no_signals_or_low_gain
سمان,صندوق س ثروت پويا-بخشي,blacklist_name
ماديرا,صنايع ماديران,no_signals_or_low_gain
خورشيد,صندوق س. طلوع تدبير پايا-د,blacklist_name
پخش,پخش البرز,no_signals_or_low_gain
شيراز,پتروشيمي‌شيراز,no_signals_or_low_gain
سباقر,سيمان باقران,no_signals_or_low_gain
وسينا,بانك سينا,no_signals_or_low_gain
افق,فروشگاههاي زنجيره اي افق كوروش,no_signals_or_low_gain
سدور,سيمان‌ دورود,no_signals_or_low_gain
كاوه,فولاد كاوه جنوب كيش,no_signals_or_low_gain
سپاها,سيمان‌سپاهان‌,no_signals_or_low_gain
اگ041212,گام بانك ملت0412,no_signals_or_low_gain
طلوع,صندوق س.طلوع نوين ثابت-د,blacklist_name
دسبحان2,سبحان دارو,no_signals_or_low_gain
ضهرم1124,اختيارخ اهرم-28000-1404/11/29,no_signals_or_low_gain
ضهرم9018,اختيارخ اهرم-22000-1404/09/26,no_signals_or_low_gain
بيوتيك,آنتي بيوتيك سازي ايران,no_signals_or_low_gain
نفيس,صندوق س.پشتوانه طلاي صبا,blacklist_name
آپ2,آسان پرداخت پرشين,no_signals_or_low_gain
فاخر,صندوق س.ثروت افزون فاخر-د,blacklist_name
دسبحان,سبحان دارو,no_signals_or_low_gain
اخزا301,اسناد خزانه-م1-س.قوا03-060615,no_signals_or_low_gain
هجرت,پخش هجرت,no_signals_or_low_gain
شكام,صنايع شيميايي كيمياگران امروز,no_signals_or_low_gain
الكتروماد,صنايع الكترونيك ماديران,no_signals_or_low_gain
محتشم,نساجي هديه البرز مشهد,no_signals_or_low_gain
حسينا,توسعه خدمات دريايي وبندري سينا,no_signals_or_low_gain
زعف0510پ26,زعفران0510نگين بديعي(پ),no_signals_or_low_gain
سامان,بانك سامان,no_signals_or_low_gain
چكاپا,گروه صنايع كاغذ پارس,no_signals_or_low_gain
شبريز4,پالايش نفت تبريز,no_signals_or_low_gain
كليد,صندوق س خانه آگاه-املاك,blacklist_name
غنوش,نوش‌ مازندران‌,no_signals_or_low_gain
ضستا1053,اختيارخ شستا-1510-1404/10/10,no_signals_or_low_gain
وپست,پست بانك ايران,no_signals_or_low_gain
سهرمز,سيمان‌هرمزگان‌,no_signals_or_low_gain
فرابورس,فرابورس ايران,no_signals_or_low_gain
