,,,,,,,,,,,,,,,,,,,,,,
دیده بان بازار : 1404/09/19 - زمان آخرین معامله : 16:50:47,,,,,,,,,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
شلرد,كود شيميايي اوره لردگان,1684,83407327,5.89036E+11,6880,6860,7080,200.00,2.91,7060,180.00,2.62,6700,7080,-700,-10.09,11,837508,7080,7140,7064,1
كرمان531,مرابحه كرمان موتور-كارون050327,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,990000,1000000,5000,1
طجهش1018,اختيارف جهش-6500-1404/10/10,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
وفتخارح,ح . سرمايه گذاري افتخار سهام,61,31000000,19165568140,589,624,624,35.00,5.94,618,29.00,4.92,608,624,,,12,6296327,624,0,0,0
دفارا,داروسازي‌ فارابي‌,347,13885269,97725672600,6840,6960,7040,200.00,2.92,7040,200.00,2.92,6960,7040,1088,6.47,7,812003,7040,7050,349369,4
وسين,بيمه سينا,79,8401535,10697092612,1238,1271,1275,37.00,2.99,1273,35.00,2.83,1255,1275,-1500,-0.85,5,903511,1275,1317,50000,1
ضران1004,اختيارخ خودران-9000-04/10/24,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ططعام1006,اختيارف طعام-11000-14041015,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
هدف,ص.س.دثابت مشترك صباي هدف-د,241,16201854,2.05466E+11,12666,12681,12682,16.00,0.13,12682,16.00,0.13,12681,12682,,,195,194010000,12681,12682,4112016,5
طذوب1211,اختيارف ذوب-260-1404/12/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
وكادو,تكادو,125,7167019,18947220740,2606,2641,2644,38.00,1.46,2644,38.00,1.46,2594,2684,410,6.45,1,200000,2598,2646,65632,1
ضران1000,اختيارخ خودران-6500-04/10/24,1,1,4477000,4468,4477,4477,9.00,0.20,4477,9.00,0.20,4477,4477,,,1,100,1,0,0,0
قلرست,قند لرستان‌,140,776788,7285573770,9250,9510,9450,200.00,2.16,9310,60.00,0.65,9240,9510,1858,5.01,1,68334,9390,9470,2000,2
ضهرم1124,اختيارخ اهرم-28000-1404/11/29,1990,40540,1.81974E+11,4049,4222,4298,249.00,6.15,4489,440.00,10.87,3999,4899,,,1,3,4261,4308,100,1
طسپا1242,اختيارف خساپا-340-1404/12/26,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
كرونا2,تامين مالي جمعي صرفا اهداي سود,0,0,0,10000,0,10000,0,0,10000,0,0,0,0,,,1,264798,10000,0,0,0
طتوان1226,اختيارف توان-20000-14041224,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طستر1229,اختيارف خگستر-3750-1404/12/06,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,11,0,0,0
طتاب1120,اختيارف شتاب-10000-1404/11/08,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضكاريس1000,اختيارخ كاريس-22000-14041015,0,0,0,16300,0,16300,0,0,16300,0,0,0,0,,,1,33,33,0,0,0
ضذوب1013,اختيارخ ذوب-280-1404/10/17,0,0,0,105,0,105,0,0,105,0,0,0,0,,,1,100,1,140,1000,1
كپشير,پشم‌شيشه‌ايران‌,615,5386769,58770676750,10730,11030,11050,320.00,2.98,10910,180.00,1.68,10470,11050,838,13.02,12,1150600,11050,0,0,0
وخاور4,بانك خاورميانه,123,21352112,58141800976,2720,2723,2723,3.00,0.11,2723,3.00,0.11,2723,2723,692,3.93,0,0,0,2723,15845,1
طفار1207,اختيارف فارس-11000-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
فنوال,نورد آلومينيوم‌,531,5484367,50361503550,9150,9420,9390,240.00,2.62,9180,30.00,0.33,9060,9420,1387,6.62,1,3000,9250,9400,597,1
ضفلا1221,اختيارخ فولاد-3250-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,5,5,0,0,0
خفناور,مهندسي صنعتي روان فن آور,167,851723,17974468670,20740,20980,21080,340.00,1.64,21100,360.00,1.74,20340,21300,58,363.79,1,4900,20740,21250,3000,1
صبحان606,صكوك مرابحه دسبحان606-3ماهه23%,0,0,0,950000,0,950000,0,0,950000,0,0,0,0,,,1,3750,950000,0,0,0
صفارس808,صكوك اجاره فارس808-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,24000,995000,1004950,4500,1
طموج1026,اختيارف موج-15000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضهرم1115,اختيارخ اهرم-13000-1404/11/29,2,14,236132000,16448,17348,16000,-448.00,-2.72,16867,419.00,2.55,16000,17348,,,1,1,16000,17471,100,1
طپناه900,اختيارف پناه-9500-14040923,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طموج905,اختيارف موج-15000-14040923,0,0,0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,2,100,1
پايش,ص.س. درآمد ثابت پايش-د,26,3872426,63519406825,16383,16403,16404,21.00,0.13,16403,20.00,0.12,16403,16404,,,1,67090237,16403,16404,5003444,13
ضجهش1217,اختيارخ جهش-12000-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,12,2,0,0,0
طملت0128,اختيارف وبملت-1300-1405/01/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
خكار,ايركا پارت صنعت,686,44946709,77353628526,1677,1698,1717,40.00,2.39,1721,44.00,2.62,1652,1727,510,3.37,1,3000,1698,1719,109000,1
گلديس2,صندوق س.پشتوانه طلا گلديس نوين,2,2300000,2300000,24611,1,1,"-24,610.00",-100.00,1,"-24,610.00",-100.00,1,1,,,0,0,0,0,0,0
طفرابورس1105,اختيارف فرابورس-3800-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طشنا1084,اختيارف شپنا-3250-1404/10/17,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضتاص0101,اختيارخ تاصيكو-6500-05/01/11,0,0,0,6290,0,6290,0,0,6290,0,0,0,0,,,1,100,3000,6231,1,1
ضموج1033,اختيارخ موج-24000-14041021,5,250,2307630000,8517,9167,9127,610.00,7.16,9231,714.00,8.38,9127,9336,,,1,16,8000,8475,100,1
ضستا1137,اختيارخ شستا-910-1404/11/08,1,1,634000,527,634,634,107.00,20.30,634,107.00,20.30,634,634,,,1,100,522,702,100,1
معدن,صندوق س صنايع مفيد6- بخشي,1041,11320330,1.19635E+11,10410,10370,10590,180.00,1.73,10570,160.00,1.54,10370,10650,,,1,87488,10590,10600,5571,6
گپارس,امور رفاهي كارگزاران پارس,12,17318,2492275350,143550,139300,147850,"4,300.00",3.00,143900,350.00,0.24,139300,147850,-1542,-93.32,0,0,0,0,0,0
طپناه903,اختيارف پناه-12000-14040923,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
مبتكران06,مرابحه مبتكران گلديران060919,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
ضهرم1252,اختيارخ اهرم-24000-1404/12/26,0,0,0,11980,0,11980,0,0,11980,0,0,0,0,,,1,100,4000,0,0,0
سدور,سيمان‌ دورود,1049,11870122,1.91079E+11,16420,15930,16230,-190.00,-1.16,16100,-320.00,-1.95,15930,16590,-1365,-11.79,1,9295,16220,16400,70603,2
فنر,پارس فنر,435,25557844,84392000888,3206,3302,3302,96.00,2.99,3302,96.00,2.99,3302,3302,392,8.42,240,90145972,3302,0,0,0
داراب,پتروشيمي داراب,29,2090359,1299359049,612,612,612,0,0,621,9.00,1.47,611,624,145,4.28,1,82000,624,643,3477,1
كگهر072,اجاره گهرزمين سپهر14070822,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,50000,990000,1000000,50000,1
شارپيلن,پتروشيمي ارغوان گسترايلام,28,2937427,7475751715,2471,2545,2545,74.00,2.99,2490,19.00,0.77,2545,2545,0,,202,53121165,2545,0,0,0
سخوز4,سيمان خوزستان,4,8389,713820010,85510,85090,85090,-420.00,-0.49,85090,-420.00,-0.49,85090,85090,13409,6.35,0,0,0,85090,93561,2
مقدم05,مرابحه توليد اصفهان مقدم050201,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,999810,1009800,5000,1
طملت1184,اختيارف وبملت-1100-1404/11/21,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,540,3,0,0,0
ضبساما1120,اختيارخ بساما-9000-14041105,21,2720,1429261000,500,505,520,20.00,4.00,525,25.00,5.00,500,600,,,1,53,520,599,2,1
ركيش,كارت اعتباري ايران كيش,178,16420578,28590892006,1692,1738,1742,50.00,2.96,1741,49.00,2.90,1706,1742,161,10.81,16,1221436,1742,0,0,0
ضمخا1109,اختيارخ اخابر-650-1404/11/21,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,1000,7,0,0,0
ضمخا9010,اختيارخ اخابر-600-1404/09/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,5,351,1
سجام,مجتمع سيمان غرب آسيا,203,11543490,52719118830,4434,4567,4567,133.00,3.00,4567,133.00,3.00,4567,4567,485,9.42,33,2902169,4567,4580,14994,1
وبوعلي,سرمايه‌گذاري‌بوعلي‌,275,6583935,14084978188,2117,2134,2130,13.00,0.61,2137,20.00,0.94,2110,2180,610,3.5,2,98622,2130,2170,4000,1
كمينا07,مرابحه شيشه سازي مينا070516,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,995000,0,0,0
طستا1144,اختيارف شستا-1610-1404/11/08,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,12,22,0,0,0
ضذوب1146,اختيارخ ذوب-400-1404/11/21,191,87740,4550001000,51,57,53,2.00,3.92,52,1.00,1.96,47,57,,,1,341,50,53,997,1
كاسپين,داروسازي كاسپين تامين,288,3288564,39191480030,11590,11900,11930,340.00,2.93,11920,330.00,2.85,11650,11930,2030,5.87,63,3628012,11930,12000,440,1
سيمرغ,سيمرغ,980,33534995,65750099471,1973,1992,1951,-22.00,-1.12,1961,-12.00,-0.61,1938,1992,246,7.97,2,6609,1950,1951,13324,1
طستر1234,اختيارف خگستر-6000-1404/12/06,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طكاريس1005,اختيارف كاريس-32000-14041015,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضكاريس1004,اختيارخ كاريس-30000-14041015,0,0,0,9500,0,9500,0,0,9500,0,0,0,0,,,1,11,11,0,0,0
تسه1402,امتيازتسهيلات مسكن سال1402,305,14048,22069316298,1570402,1524102,1531001,"-39,401.00",-2.51,1570993,591.00,0.04,1524102,1600000,,,1,700,1531016,1556000,7,1
الماس,صندوق س.امين تدبيرگران فردا-س,12,43420,1096994150,24929,24182,25367,438.00,1.76,25265,336.00,1.35,24182,25367,,,1,660,25218,25485,50,1
حفاري,حفاري شمال,3262,94041486,4.28151E+11,4643,4639,4527,-116.00,-2.50,4553,-90.00,-1.94,4507,4639,1048,4.34,1,187657,4524,4527,82000,1
شپلي,پلي اكريل ايران,950,162703144,2.66856E+11,1594,1629,1641,47.00,2.95,1640,46.00,2.89,1600,1641,10,164,13,2041433,1641,1644,6000,2
ضتوان903,اختيارخ توان-12000-14040923,0,0,0,15185,0,15185,0,0,15185,0,0,0,0,,,1,150,1002,0,0,0
مشهد62,مشاركت ش مشهد62-3ماهه20.5%,0,0,0,1010000,0,1010000,0,0,1010000,0,0,0,0,,,1,4500,1000000,1010000,4490,1
ضفلا1004,اختيارخ فولاد-2800-1404/10/10,6,262,189864000,680,699,840,160.00,23.53,725,45.00,6.62,699,840,,,1,200,750,0,0,0
كسعدي,كاشي‌ سعدي‌,272,15337684,1.13345E+11,7180,7390,7390,210.00,2.92,7390,210.00,2.92,7390,7390,1111,6.65,120,16715794,7390,0,0,0
ضفلا0128,اختيارخ فولاد-2800-1405/01/19,0,0,0,1004,0,1004,0,0,1004,0,0,0,0,,,1,100,1,1550,20,1
شاملا4,معدني‌ املاح‌  ايران‌,1,14500,264190000,18030,18220,18220,190.00,1.05,18220,190.00,1.05,18220,18220,2260,8.06,5,89746,18220,0,0,0
صفروس607,صكوك مرابحه فروس607-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,2250,1000000,1010000,2250,1
صرمد62,صكوك اجاره سرمد62-3ماهه23%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
ضذوب1209,اختيارخ ذوب-220-1404/12/19,2,147,27952000,201,190,212,11.00,5.47,190,-11.00,-5.47,190,212,,,2,161,196,211,1000,1
ضستا1241,اختيارخ شستا-1510-1404/12/13,5,1250,213000000,147,170,180,33.00,22.45,170,23.00,15.65,170,180,,,1,1000,150,0,0,0
مكرج412,مشاركت ش كرج412-3ماهه18%,1,35500,34871650000,982209,982300,982300,91.00,0.01,982300,91.00,0.01,982300,982300,,,1,8000,924000,0,0,0
تبريز412,مشاركت ش تبريز412-3ماهه18%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,15000,973500,0,0,0
طذوب9022,اختيارف ذوب-240-1404/09/19,0,0,0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,1,50,1
اعتماد2,صندوق س.اعتماد آفرين پارسيان-د,1,6000000,6000000,109009,1,1,"-109,008.00",-100.00,1,"-109,008.00",-100.00,1,1,,,0,0,0,0,0,0
ضذوب9023,اختيارخ ذوب-260-1404/09/19,12,2804,398526000,139,136,144,5.00,3.60,142,3.00,2.16,136,145,,,1,100,110,142,10,1
تخت گاز,صندوق س.بخشي صنايع معيار-ب,109,1605990,18161388132,11180,11290,11301,121.00,1.08,11309,129.00,1.15,11188,11437,,,1,8877,11250,11380,100,1
ناب,صندوق س.پشتوانه طلا نهايت نگر,3630,32404422,1.37567E+12,42523,41650,42875,352.00,0.83,42453,-70.00,-0.16,41600,42999,,,1,36796,42900,42915,100,1
اراد190,مرابحه عام دولت190-ش.خ050928,0,0,0,909210,0,908290,-920.00,-0.10,909210,0,0,0,0,,,0,0,0,994450,100000,1
لبوتان,گروه‌صنعتي‌بوتان‌,434,11092270,31624214334,2840,2842,2880,40.00,1.41,2851,11.00,0.39,2811,2900,255,11.18,1,1800,2847,2890,6807,1
ضملي0122,اختيارخ فملي-5500-1405/01/11,12,39,219154000,5776,5511,5551,-225.00,-3.90,5619,-157.00,-2.72,5400,5800,,,1,4,5551,5796,100,1
ختوقا4,قطعات‌ اتومبيل‌ ايران‌,1,8500,33685500,3924,3963,3963,39.00,0.99,3963,39.00,0.99,3963,3963,192,20.64,0,0,0,3963,45117,4
ثفارس,عمران‌وتوسعه‌فارس‌,2803,38328365,7.5051E+11,19130,19130,19700,570.00,2.98,19580,450.00,2.35,19010,19700,1709,11.46,2,12000,19670,19700,84068,1
ضسپا1241,اختيارخ خساپا-320-1404/12/26,7,871,211114000,235,240,243,8.00,3.40,242,7.00,2.98,240,246,,,1,100,212,245,350,1
طخود2071,اختيارف خودرو-700-1405/02/02,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,111,11,0,0,0
شسينا,صنايع‌شيميايي‌سينا,431,13789376,37972002121,2683,2738,2763,80.00,2.98,2754,71.00,2.65,2688,2763,312,8.83,1,50000,2763,2767,1824,1
غگرجي,بيسكويت‌  گرجي‌,389,24593820,42614743899,1686,1727,1736,50.00,2.97,1733,47.00,2.79,1698,1736,-51,-33.98,1,28728,1734,0,0,0
ضفرابورس1104,اختيارخ فرابورس-3600-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,27,450,810,54,1
نيلي,صندوق س. نوع دوم نيلي دماوند-د,28,23761345,2.38611E+11,10031,10042,10042,11.00,0.11,10042,11.00,0.11,10042,10043,,,1,50000000,10042,10043,9999900,1
طعام,صندوق س.بخشي بازده صنايع2-ب,54,774766,10443724129,13600,13610,13600,0,0,13480,-120.00,-0.88,13200,13709,,,1,866,13338,13785,15000,1
مرواريد,صندوق س. مرواريد بها بازار-س,4,200090,2857685380,14282,14282,14282,0,0,14282,0,0,14282,14282,,,1,72,14281,14282,465863,1
طخود2064,اختيارف خودرو-380-1405/02/02,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
صبهمن052,صكوك مرابحه بهمن 052-3ماهه18%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,3750,990100,1000000,3750,1
ارمغان,ص سرمايه گذاري ارمغان ايرانيان,122,55272630,5.55159E+11,10030,10044,10045,15.00,0.15,10044,14.00,0.14,10044,10045,,,1,200000000,10044,10045,49997000,1
تفارس,تامين سرمايه خليج فارس,128,10098605,12549083477,1252,1289,1256,4.00,0.32,1244,-8.00,-0.64,1220,1289,136,9.15,1,5000,1258,1279,230226,3
سكه0412پ03,تمام سكه طرح جديد0412 سامان,316,445000,5.81275E+11,1310268,1300999,1315101,"4,833.00",0.37,1306237,"-4,031.00",-0.31,1290000,1324490,,,1,7000,1315101,1318099,1000,1
طفصبا1142,اختيارف فصبا-3800-14041105,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضستا0136,اختيارخ شستا-1300-1405/01/11,4,296,100166000,381,339,398,17.00,4.46,338,-43.00,-11.29,334,398,,,1,996,344,398,1,1
گلريز05,اجاره گلريز پليمر قم14051026,0,0,0,905000,0,905000,0,0,905000,0,0,0,0,,,1,10000,859750,0,0,0
زعف0410پ20,زعفران0410نگين وحدت جام(پ),36,5303,8908544757,1674528,1740000,1710000,"35,472.00",2.12,1679907,"5,379.00",0.32,1660000,1740000,,,3,499,1710000,1719993,100,1
ضموج1026,اختيارخ موج-15000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,5,200,0,0,0
ضران1001,اختيارخ خودران-7000-04/10/24,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضتوان1020,اختيارخ توان-26000-14041021,40,1948,6769396000,2521,3010,3445,924.00,36.65,3475,954.00,37.84,2980,3597,,,3,65,3350,3620,50,1
ضپناه907,اختيارخ پناه-16000-14040923,0,0,0,1195,0,1195,0,0,1195,0,0,0,0,,,1,11,111,0,0,0
زعف0410پ26,زعفران0410نگين بديعي(پ),22,1822,3081005754,1667622,1667409,1710001,"42,379.00",2.54,1691002,"23,380.00",1.40,1667409,1710001,,,2,4891,1675001,1710000,148,2
ضموج1034,اختيارخ موج-26000-14041021,16,302,2059132000,6619,6820,6544,-75.00,-1.13,6818,199.00,3.01,6544,7128,,,2,5,6152,6544,68,1
ضخود1148,اختيارخ خودرو-360-1404/11/01,1,1,263000,209,263,263,54.00,25.84,263,54.00,25.84,263,263,,,1,1,156,0,0,0
طفلا1216,اختيارف فولاد-2200-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضجهش1222,اختيارخ جهش-18000-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
طتاب1124,اختيارف شتاب-14000-1404/11/08,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
صفولا051,صكوك اجاره فولاد051-بدون ضامن,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,0,0,0
ضجهش1214,اختيارخ جهش-9000-1404/12/13,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,12,21,0,0,0
پارس ميكا06,مرابحه پارس ميكاكيش060708,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,950000,0,0,0
وپارس,بانك‌پارسيان‌,2024,170277343,5.12918E+11,2930,2945,3017,87.00,2.97,3012,82.00,2.80,2910,3017,2890,1.04,47,11862875,3017,3020,10000,1
طكاريس1003,اختيارف كاريس-28000-14041015,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
نيواد07,مرابحه نيوادفارمد سلامت070409,0,0,0,1001470,0,1001470,0,0,1001470,0,0,0,0,,,1,5000,951400,0,0,0
دشيمي,شيمي‌ داروئي‌ داروپخش‌,57,500611,9997431420,19400,19980,19980,580.00,2.99,19730,330.00,1.70,19330,19980,1614,12.22,6,19153,19980,0,0,0
ضسپا0120,اختيارخ خساپا-600-1405/01/26,6,132,10440000,1,20,109,108.00,"10,800.00",79,78.00,"7,800.00",20,150,,,1,161,35,0,0,0
طملي1410,اختيارف فملي-9000-1404/11/01,0,0,0,100,0,100,0,0,100,0,0,0,0,,,1,33,33,0,0,0
ضتوان1101,اختيارخ توان-19000-14041126,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,12,21,0,0,0
ضجار1233,اختيارخ وتجارت-450-1404/12/19,5,3050,394900000,99,122,140,41.00,41.41,129,30.00,30.30,122,140,,,2,1001,133,140,649,1
غپاك,لبنيات‌ پاك‌,677,25743764,35733107883,1386,1390,1394,8.00,0.58,1388,2.00,0.14,1348,1425,218,6.37,1,88888,1385,1395,15000,1
عاليس,بهار رز عاليس چناران,1065,8492054,48386892100,5710,5750,5620,-90.00,-1.58,5700,-10.00,-0.18,5600,5780,916,6.22,1,8550,5620,5700,484760,5
گام050616,گواهي اعتبارمولد كشاورزي050631,0,0,0,755300,0,755300,0,0,755300,0,0,0,0,,,0,0,0,789890,5000,1
مهد06,اجاره مهد س.خاورميانه14060715,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,997000,1005000,5000,1
يلدا,صندوق س.مشترك سبحان-سهام,4,20359,341797400,16500,16730,16700,200.00,1.21,16790,290.00,1.76,16700,16800,,,1,1000000,16700,16800,200000,1
بركت,گروه دارويي بركت,1328,87683719,2.25797E+11,2502,2520,2577,75.00,3.00,2575,73.00,2.92,2520,2577,32,80.47,33,8189555,2577,2594,1945,1
ضاطلس100008,اختيارخ اطلس-85000-14041021,2,84,181818000,1727,2172,2109,382.00,22.12,2164,437.00,25.30,2109,2172,,,1,10,1787,2009,64,1
طستا0136,اختيارف شستا-1300-1405/01/11,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,11,12,0,0,0
كمند,صندوق س. با درآمد ثابت كمند,2027,339071666,3.40769E+12,10025,10041,10042,17.00,0.17,10050,25.00,0.25,10041,10061,,,4,300331302,10041,10042,26210681,1
اراد234,مرابحه عام دولت234-ش.خ070808,0,0,0,804970,0,804970,0,0,804970,0,0,0,0,,,0,0,0,806700,215000,1
صعبيد711,صكوك مرابحه دعبيد711-3ماهه23%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,990000,0,0,0
طملت1189,اختيارف وبملت-1600-1404/11/21,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
صشاد709,صكوك مرابحه شادگان709-3ماهه23%,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,12500,1000000,0,0,0
ضذوب9029,اختيارخ ذوب-380-1404/09/19,2017,936481,21414820000,22,16,23,1.00,4.55,23,1.00,4.55,15,25,,,2,2000,22,23,1000,1
كارامح,ح . صنايع سرام آرا,10,443620,391724980,859,864,884,25.00,2.91,883,24.00,2.79,864,884,,,4,388935,884,927,144000,2
كرمان5123,مرابحه كرمان موتور-تاك051223,0,0,0,1000000,0,1000000,0,0,1000000,0,0,0,0,,,1,5000,1000000,1010000,5000,1
ضموج907,اختيارخ موج-17000-14040923,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
سپاها,سيمان‌سپاهان‌,808,17120344,1.87318E+11,10640,10900,10950,310.00,2.91,10940,300.00,2.82,10810,10950,1841,5.94,93,2382281,10950,11050,143397,2
طشنا1090,اختيارف شپنا-5500-1404/10/17,0,0,0,1,0,1,0,0,1,0,0,0,0,,,2,432,80,0,0,0
گوهر2,صندوق طلاي كيان,10,580000,580000,603577,1,1,"-603,576.00",-100.00,1,"-603,576.00",-100.00,1,1,,,0,0,0,0,0,0
ضوتعاون907,اختيارخ وتعاون-2000-14040930,0,0,0,34,0,34,0,0,34,0,0,0,0,,,1,100,1,10000,2,1
غزر4,صنعتي زر ماكارون,11,323500,795163000,2441,2458,2458,17.00,0.70,2458,17.00,0.70,2458,2458,622,3.95,1,12354,2458,0,0,0
ضفلا1405,اختيارخ فولاد-2200-1404/11/08,4,13,17838000,1315,1545,1550,235.00,17.87,1372,57.00,4.33,791,1550,,,1,6,1113,1551,100,1
ضموج1024,اختيارخ موج-13000-14041021,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,5,150,0,0,0
طپادا1026,اختيارف پادا-270000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,3,3000,1,0,0,0
اخزا212,اسناد خزانه-م12بودجه02-050916,24,40540,29820551120,734540,734600,736200,"1,660.00",0.23,735580,"1,040.00",0.14,732610,736230,,,2,136,734650,737980,6,1
ططعام1003,اختيارف طعام-9000-14041015,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضستر1233,اختيارخ خگستر-5500-1404/12/06,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضتاص0104,اختيارخ تاصيكو-8000-05/01/11,2,85,439590000,1,5169,5172,"5,171.00","517,100.00",5172,"5,171.00","517,100.00",5169,5172,,,1,100,1931,5102,100,1
طتاص1105,اختيارف تاصيكو-9000-04/11/01,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضران1006,اختيارخ خودران-11000-04/10/24,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
قشرين,قند شيرين خراسان,242,16427066,36972914752,2194,2211,2256,62.00,2.83,2251,57.00,2.60,2211,2259,-48,-46.9,1,182801,2249,2257,13743,3
ضسپا1136,اختيارخ خساپا-400-1404/11/29,9,153,24474000,155,150,157,2.00,1.29,160,5.00,3.23,150,166,,,1,40,152,164,971,1
ضهرم1117,اختيارخ اهرم-15000-1404/11/29,3,18,276670000,14567,15320,15500,933.00,6.40,15371,804.00,5.52,15320,15500,,,1,33,33,15605,100,1
ضفزر1013,اختيارخ فزر-100000-14041007,411,2445,6366281000,4333,3000,3300,"-1,033.00",-23.84,2604,"-1,729.00",-39.90,2110,4499,,,1,10,3300,4488,5,3
طخود2066,اختيارف خودرو-450-1405/02/02,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
آفرين,صندوق س رشدآفرين سرمايه-مختلط,2,96000,1306560000,13600,13610,13610,10.00,0.07,13610,10.00,0.07,13610,13610,,,0,0,0,13610,258200,1
آفاق,صندوق س نوع دوم افق آتي-ثابت,256,26443314,2.69095E+11,10164,10176,10176,12.00,0.12,10176,12.00,0.12,10176,10177,,,48,500727147,10176,10177,53254384,54
بانكا,صندوق س صنايع آگاه4-بخشي,863,4545434,49786857000,10760,10630,10980,220.00,2.04,10950,190.00,1.77,10630,11050,,,1,54043,10960,10980,3834,1
طفزر1000,اختيارف فزر-44000-14041007,0,0,0,1,0,1,0,0,1,0,0,0,0,,,1,100,1,0,0,0
ضفلا1007,اختيارخ فولاد-3500-1404/10/10,75,14217,3688885000,140,235,259,119.00,85.00,259,119.00,85.00,201,299,,,1,1000,200,278,1000,1
